val,n_eol,true_last_5_mean,full_gbm_q4,full_gbm_q5,full_rf,full_et,full_ensemble_median,full_ensemble_mean,full_ensemble_conservative,last_gbm_q4,last_gbm_q5,last_rf,last_et,last_ensemble_median,last_ensemble_mean,last_ensemble_conservative,explode_gbm_q4,explode_gbm_q5,explode_rf,explode_et,explode_ensemble_median,explode_ensemble_mean,explode_ensemble_conservative,pred_last_conservative,pred_last_median
Train1,25,1800.0,0.5353512666295946,0.5582575261501471,0.5111554980330366,0.518297293551559,0.5453608552174768,0.5398352738715687,0.5303630440916951,0.05475615464205017,0.0903911350094804,0.05796155547326074,0.01941679922715241,0.053997327646542706,0.04736812696048855,0.04374736276213452,1,1,1,1,1,1,1,5650.943057345131,5508.332924136798
Train2,25,1800.0,0.587590075134274,0.598542676407551,0.5447103113024496,0.5027333554841433,0.5681647305538493,0.5560979361244804,0.5624689160219151,0.24695205359677455,0.31619885768499695,0.1144563945639484,0.05913989408358172,0.1576628540471378,0.14182747008082194,0.13807265719484907,0,0,0,0,0,0,0,3453.87426859249,3578.1042918504704
Train3,25,1800.0,0.4231385856519637,0.38918380478025116,0.3401408382113189,0.3462132958188668,0.37322063071567113,0.3698886458908251,0.37634706443149724,0.07082517038343429,0.032320326263904096,0.0389566856253893,0.0022520392450611996,0.030679155723441508,0.01941226037032743,0.02731001203155401,0,1,0,2,0,0,0,3035.1159576028867,3357.623820663673
Train4,25,1800.0,0.5281825314330372,0.509030278707742,0.5019604142208101,0.48523524283457253,0.5038054392161908,0.500457730912649,0.5062753117790731,0.005875457281857326,0.005954582040529922,0.01477616534822009,0.007825066845802238,0.006873128735491808,0.007891913697539719,0.008114974124271562,3,3,3,3,3,3,3,6024.233811234687,6078.557998208647
