val,rmse_s,full_mean,full_med,full_trim,full_cons,full_ultra,last_mean,last_med,last_trim,true_last,pred_last_med,seeds
Train1,12653.807648293063,0.656501847646835,0.7050217717604846,0.6958469737701682,0.6607018636547997,0.6509497908012272,0.027725435316697165,1.0,0.1794446124646584,600.0,600.0,"0.801,0.779,0.782,0.832,0.808,0.484,0.562,0.693,0.476,0.859"
Train2,14199.094055607915,0.6128450216770455,0.6820550382947718,0.6299835613896136,0.6156467424419715,0.6309216426953531,1.1756786699160793e-09,1.0277482131288958e-06,2.1494004313521323e-08,600.0,2987.0498046875,"0.452,0.795,0.724,0.705,0.438,0.420,0.564,0.564,0.409,0.403"
Train3,12563.297656268436,0.45652017516701865,0.4378714030610452,0.4536751659650619,0.45019255180531614,0.4730620328528846,1.9287498479639178e-22,1.0273444488354522e-20,1.9287498479639178e-22,600.0,8567.95703125,"0.260,0.240,0.261,0.256,0.274,0.306,0.567,0.567,0.276,0.304"
Train4,35409.95024001022,0.39194310508640307,0.3393042377630987,0.36618726985653494,0.2702839688302992,0.26935163135774687,1.329657660616101e-07,1.0,1.0,600.0,600.0,"0.581,0.252,0.640,0.606,0.610,0.594,0.632,0.562,0.680,0.595"
