thr1,thr2,slope,beta,full,last,combined
0.3,0.7,20,1.05,0.5669403620750033,0.8408538751377151,0.6491144159938169
0.3,0.7,20,1.1,0.5639330962086754,0.707069077507523,0.6068738905983296
0.3,0.7,40,0.9,0.5418588350057223,1.0,0.6793011845040056
0.3,0.7,40,0.95,0.5549407744801163,1.0,0.6884585421360814
0.3,0.7,40,1.0,0.564272459034328,1.0,0.6949907213240296
0.3,0.7,40,1.05,0.56534389487253,0.8408964152537148,0.6480096509868853
0.3,0.7,40,1.1,0.5619674257583201,0.707106781186548,0.6055092323867886
0.3,0.7,60,0.9,0.5424257281578551,1.0,0.6796980097104985
0.3,0.7,60,0.95,0.5552218823058681,1.0,0.6886553176141077
0.3,0.7,60,1.0,0.5644293797482043,1.0,0.695100565823743
0.3,0.7,60,1.05,0.5652064864002798,0.8408964152537148,0.6479134650563103
0.3,0.7,60,1.1,0.5615780119997446,0.707106781186548,0.6052366427557856
0.3,0.75,10,0.9,0.5402694598955452,1.0,0.6781886219268816
0.3,0.75,10,0.95,0.5570079627365496,1.0,0.6899055739155847
0.3,0.75,10,1.0,0.5677555308216929,0.9532971347317711,0.6834180119947164
0.3,0.75,10,1.05,0.5714454265789062,0.8002253049900439,0.6400793901022475
0.3,0.75,10,1.1,0.5701863664509903,0.6713515486597135,0.6005359211136072
0.3,0.75,20,0.9,0.5406687287912935,1.0,0.6784681101539054
0.3,0.75,20,0.95,0.5549035112149094,1.0,0.6884324578504366
0.3,0.75,20,1.0,0.5650449940501133,0.9999511735470453,0.6955168478991929
0.3,0.75,20,1.05,0.5675130449917553,0.8408538751377151,0.6495152940355432
0.3,0.75,20,1.1,0.5641789875966475,0.707069077507523,0.6070460145699101
0.3,0.75,40,0.9,0.5403999775986619,1.0,0.6782799843190632
0.3,0.75,40,0.95,0.554159526887204,1.0,0.6879116688210428
0.3,0.75,40,1.0,0.5646112314095648,1.0,0.6952278619866954
0.3,0.75,40,1.05,0.5658378607050758,0.8408964152537148,0.6483554270696674
0.3,0.75,40,1.1,0.5621772382925679,0.707106781186548,0.605656101160762
0.3,0.75,60,0.9,0.5407090162832522,1.0,0.6784963113982765
0.3,0.75,60,0.95,0.5545049575020671,1.0,0.6881534702514469
0.3,0.75,60,1.0,0.5649834469402967,1.0,0.6954884128582076
0.3,0.75,60,1.05,0.5660705112807711,0.8408964152537148,0.6485182824726542
0.3,0.75,60,1.1,0.5621927677895341,0.707106781186548,0.6056669718086383
0.3,0.8,10,0.9,0.5395989161817412,1.0,0.6777192413272188
0.3,0.8,10,0.95,0.55688352447674,1.0,0.689818467133718
0.3,0.8,10,1.0,0.5685071059222078,0.9532971347317711,0.6839441145650768
0.3,0.8,10,1.05,0.5726506561791904,0.8002253049900439,0.6409230508224464
0.3,0.8,10,1.1,0.5716360901855502,0.6713515486597135,0.6015507277277992
0.3,0.8,20,0.9,0.5402253963449681,1.0,0.6781577774414776
0.3,0.8,20,0.95,0.5540915369647625,1.0,0.6878640758753338
0.3,0.8,20,1.0,0.5653911017699047,0.9999511735470453,0.6957591233030469
0.3,0.8,20,1.05,0.5680697047957142,0.8408538751377151,0.6499049558983144
0.3,0.8,20,1.1,0.5646152012753946,0.707069077507523,0.607351364145033
0.3,0.8,40,0.9,0.5398281826833321,1.0,0.6778797278783324
0.3,0.8,40,0.95,0.553601060200318,1.0,0.6875207421402225
0.3,0.8,40,1.0,0.5641679897212516,1.0,0.6949175928048761
0.3,0.8,40,1.05,0.5658693973876755,0.8408964152537148,0.6483775027474873
0.3,0.8,40,1.1,0.5621714936759848,0.707106781186548,0.6056520799291538
0.3,0.8,60,0.9,0.5400691511740168,1.0,0.6780484058218117
0.3,0.8,60,0.95,0.5538180920351132,1.0,0.6876726644245792
0.3,0.8,60,1.0,0.5641782463299013,1.0,0.6949247724309309
0.3,0.8,60,1.05,0.5658213213746224,0.8408964152537148,0.64834384953835
0.3,0.8,60,1.1,0.5619841715312679,0.707106781186548,0.6055209544278519
0.3,0.85,10,0.9,0.539411655656009,1.0,0.6775881589592063
0.3,0.85,10,0.95,0.5567105077822194,1.0,0.6896973554475536
0.3,0.85,10,1.0,0.5691028962040701,0.953297051473543,0.6843611427849119
0.3,0.85,10,1.05,0.5736689543548243,0.800225235177602,0.6416358386016576
0.3,0.85,10,1.1,0.5731559670630526,0.6713514315835692,0.6026146064192076
0.3,0.85,20,0.9,0.5398948631718178,1.0,0.6779264042202724
0.3,0.85,20,0.95,0.5541418548573177,1.0,0.6878992984001224
0.3,0.85,20,1.0,0.5654638096586319,0.9999511735470453,0.6958100188251559
0.3,0.85,20,1.05,0.5692138119494295,0.8408538751377151,0.6507058309059153
0.3,0.85,20,1.1,0.5660726333825126,0.707069077507523,0.6083715666200157
0.3,0.85,40,0.9,0.5411057318602924,1.0,0.6787740123022047
0.3,0.85,40,0.95,0.554319285737049,1.0,0.6880235000159343
0.3,0.85,40,1.0,0.5652344408415085,1.0,0.6956641085890559
0.3,0.85,40,1.05,0.5672774153980449,0.8408964152537148,0.6493631153547459
0.3,0.85,40,1.1,0.5632286007337529,0.707106781186548,0.6063920548695914
0.3,0.85,60,0.9,0.5412115988968568,1.0,0.6788481192277998
0.3,0.85,60,0.95,0.5547755651268566,1.0,0.6883428955887996
0.3,0.85,60,1.0,0.5651870923270691,1.0,0.6956309646289484
0.3,0.85,60,1.05,0.5667928755350145,0.8408964152537148,0.6490239374506246
0.3,0.85,60,1.1,0.5625436392494252,0.707106781186548,0.605912581830562
0.3,0.9,10,0.9,0.5396680520850743,1.0,0.677767636459552
0.3,0.9,10,0.95,0.5570687874113086,1.0,0.689948151187916
0.3,0.9,10,1.0,0.5693422333545293,0.9532971347317711,0.6845287037677018
0.3,0.9,10,1.05,0.5744102013126968,0.8002253049900439,0.6421547324159009
0.3,0.9,10,1.1,0.5742702935428656,0.6713515486597135,0.60339467007792
0.3,0.9,20,0.9,0.5404264476727465,1.0,0.6782985133709225
0.3,0.9,20,0.95,0.5545990293955781,1.0,0.6882193205769047
0.3,0.9,20,1.0,0.5661555418946629,0.9999512616829211,0.6962942578311404
0.3,0.9,20,1.05,0.5708255255473957,0.8408540233660634,0.651834074892996
0.3,0.9,20,1.1,0.5680701103990402,0.7070692021520779,0.6097698379249515
0.3,0.9,40,0.9,0.5419156521830284,1.0,0.6793409565281199
0.3,0.9,40,0.95,0.5555507622121489,1.0,0.6888855335485042
0.3,0.9,40,1.0,0.5672327592990448,1.0,0.6970629315093313
0.3,0.9,40,1.05,0.570039312774064,0.8408964152537148,0.6512964435179592
0.3,0.9,40,1.1,0.5665075373849319,0.707106781186548,0.6086873105254167
0.3,0.9,60,0.9,0.5434900590593676,1.0,0.6804430413415573
0.3,0.9,60,0.95,0.5570082782209677,1.0,0.6899057947546774
0.3,0.9,60,1.0,0.5683897260122381,1.0,0.6978728082085667
0.3,0.9,60,1.05,0.5712300970090382,0.8408964152537148,0.6521299924824411
0.3,0.9,60,1.1,0.5668580767136019,0.707106781186548,0.6089326880554857
