thr,slope,beta,full,last,combined
0.3,3,0.85,0.5258274326667849,0.2838640765587183,0.4532384258343649
0.3,3,0.9,0.5404025313434735,0.27433373284572626,0.4605818917941493
0.3,3,0.95,0.5556324089437317,0.26750596136033994,0.4691944746687141
0.3,3,1.0,0.5694388221270622,0.26260613516112546,0.4773890160372812
0.3,3,1.05,0.573369225813332,0.2590849905376554,0.479083955230629
0.3,3,1.1,0.569642912598992,0.24199349969399647,0.47134808872749334
0.3,5,0.85,0.525017779948924,0.5756588736061297,0.5402101080460857
0.3,5,0.9,0.538901066316632,0.5070090297473837,0.5293334553458575
0.3,5,0.95,0.5534865640522049,0.4530924023477137,0.5233683155408575
0.3,5,1.0,0.5640506176336539,0.41068210576013675,0.5180400640715987
0.3,5,1.05,0.5651376486487117,0.3535311872969865,0.5016557102431942
0.3,5,1.1,0.5599858013303427,0.29184685501024654,0.47954411743431385
0.3,10,0.85,0.521919336052869,1.0,0.6653435352370083
0.3,10,0.9,0.5377728589590058,1.0,0.676441001271304
0.3,10,0.95,0.5522332815323795,1.0,0.6865632970726656
0.3,10,1.0,0.5567980339258327,0.9540498899142265,0.6759735907223507
0.3,10,1.05,0.554920440694777,0.8008879714725577,0.6287106999281111
0.3,10,1.1,0.549509406211819,0.6719335319098482,0.5862366439212277
0.3,20,0.85,0.5209098808832496,1.0,0.6646369166182747
0.3,20,0.9,0.5373036210706775,1.0,0.6761125347494743
0.3,20,0.95,0.5468066903386934,1.0,0.6827646832370854
0.3,20,1.0,0.5491905084595474,0.9999530243246235,0.6844192632190702
0.3,20,1.05,0.5465591376393837,0.8408554314449035,0.6348480257810396
0.3,20,1.1,0.541387032859101,0.7070705108326466,0.5910920762511647
0.3,40,0.85,0.5230079724405814,1.0,0.6661055807084069
0.3,40,0.9,0.5373335377185932,1.0,0.6761334764030151
0.3,40,0.95,0.5449406913201915,1.0,0.681458483924134
0.3,40,1.0,0.5464238060174598,1.0,0.6824966642122219
0.3,40,1.05,0.543755377140585,0.8408964152537148,0.6328976885745239
0.3,40,1.1,0.5380728671429195,0.707106781186548,0.588783041356008
0.4,3,0.85,0.526577214652735,0.2653363099366194,0.4482049432379003
0.4,3,0.9,0.5415956280406201,0.26057049619809153,0.4572880884878615
0.4,3,0.95,0.5570807198964263,0.2572908256171332,0.4671437516126383
