val_bearing,rmse_s,tft_mean,tft_median,tft_trim,tft_cons,tft_ultra,best_strat,best_score,seeds,asym_score
Train1,4606.727688934956,0.709586213442108,0.7333549311627194,0.7584155834417043,0.7383868803470062,0.7232206462950026,trimmed,0.7584155834417043,"0.649,0.724,0.738,0.701,0.767,0.694,0.601,0.633,0.711,0.602",0.7383868803470062
Train2,8748.939592887815,0.7011798915971582,0.7128143844890257,0.7295421307471512,0.7120306351706279,0.6882963929278304,trimmed,0.7295421307471512,"0.687,0.694,0.693,0.739,0.732,0.650,0.653,0.714,0.724,0.578",0.7120306351706279
Train3,7071.1252287029965,0.49465503071043215,0.5551346998262442,0.5589591199563272,0.556730054613947,0.556137794532598,trimmed,0.5589591199563272,"0.232,0.446,0.480,0.507,0.369,0.614,0.573,0.578,0.562,0.540",0.556730054613947
Train4,20192.152138888017,0.5095646272102696,0.5010966322211359,0.544442436751845,0.47328693873275984,0.46321306366157056,trimmed,0.544442436751845,"0.455,0.461,0.441,0.400,0.453,0.546,0.459,0.555,0.432,0.618",0.47328693873275984
