method,Train1,Train2,Train3,Train4,mean,ci_lo,ci_hi
avg_rate,0.591,0.656,0.5178,0.6354,0.6001,0.5472,0.6457
HI_reg,0.8157,0.7569,0.2464,0.5742,0.5983,0.374,0.7863
KNN_q35,0.7638,0.6374,0.2169,0.5782,0.5491,0.322,0.7174
p_star_2ax,0.5229,0.5448,0.5435,0.5399,0.5378,0.528,0.5442
p_star,0.6991,0.5429,0.3348,0.574,0.5377,0.3946,0.66
KNN_med,0.7014,0.644,0.1509,0.6255,0.5305,0.2742,0.6824
