method,mean,ci_lo,ci_hi,p_gt_avgrate
avg×HIreg (geo),0.6359,0.56,0.7118,0.88
avg×pstar (geo),0.6329,0.5702,0.7162,0.74
avg×pstar×HIreg (geo),0.6261,0.5353,0.725,0.68
avg×pstar×q35 (geo),0.6172,0.5242,0.7196,0.68
all4 (geo),0.6015,0.4658,0.7263,0.53
avg_rate,0.6001,0.5472,0.6457,
HI_reg,0.5983,0.374,0.7863,0.47
KNN_q35,0.5491,0.322,0.7174,0.32
p_star,0.5377,0.3946,0.66,0.12
