kind,band,n,rul_med,rul_min,rul_max,cv,held,mape_pct,asym,r2_log
scatter,0.30-0.40,78,53700.0,36600.0,71400.0,0.168,,,,
scatter,0.40-0.50,78,39600.0,17400.0,59400.0,0.244,,,,
scatter,0.50-0.60,49,31800.0,15600.0,49800.0,0.319,,,,
lobo_transfer,,126,,,,,Train1,35.0,0.726,0.818
lobo_transfer,,114,,,,,Train2,37.6,0.685,0.799
lobo_transfer,,89,,,,,Train3,81.5,0.242,0.535
lobo_transfer,,137,,,,,Train4,47.8,0.554,0.451
