thr,slope,beta,full,last,combined
0.3,3,0.85,0.5546972345118127,0.03068711655329541,0.3974941991242575
0.3,3,0.9,0.5725118823016982,0.02190771024874908,0.4073306306858135
0.3,3,0.95,0.5866635896324265,0.015659008380065165,0.41536221525671807
0.3,3,1.0,0.5958586466542324,0.011203895887855756,0.4204622214243194
0.3,3,1.05,0.5983479414228788,0.008023019281882633,0.42125046478058
0.3,3,1.1,0.5948344969222399,0.005749227658534841,0.41810891614312834
0.3,5,0.85,0.5548029221664362,0.3143663291565884,0.48267194426348187
0.3,5,0.9,0.5694375680772554,0.24744561806538512,0.47283998307369435
0.3,5,0.95,0.5795130401895572,0.19501116845717942,0.46416247866984384
0.3,5,1.0,0.5880150259598245,0.15386677058116646,0.457770549346227
0.3,5,1.05,0.5906765983750232,0.12153654784765272,0.449934583216812
0.3,5,1.1,0.5881423039233135,0.09609884070368417,0.4405292649574246
0.3,10,0.85,0.5553958440923931,0.7500000000002848,0.6137770908647605
0.3,10,0.9,0.5678418863316855,0.7500000000000461,0.6224893204321936
0.3,10,0.95,0.5768039213898901,0.7500000000000074,0.6287627449729253
0.3,10,1.0,0.584156622151607,0.7025087898700284,0.6196622724671335
0.3,10,1.05,0.585821825675764,0.5888262469745287,0.5867231520653934
0.3,10,1.1,0.5825404966429365,0.4935416687246796,0.5558408482674594
0.3,20,0.85,0.5534939086093311,0.7500000000002771,0.6124457360266149
0.3,20,0.9,0.566108594781254,0.7500000000000447,0.6212760163468911
0.3,20,0.95,0.5750316532806378,0.7500000000000072,0.6275221572964486
0.3,20,1.0,0.5820569807411712,0.749949512433257,0.6324247402487969
0.3,20,1.05,0.5821776379941351,0.6306277339842092,0.5967126667911573
0.3,20,1.1,0.578450843123722,0.5302908159525775,0.5640028349723786
0.3,40,0.85,0.5537869090271796,0.750000000000277,0.6126508363191088
0.3,40,0.9,0.5664830715828355,0.7500000000000447,0.6215381501079982
0.3,40,0.95,0.5755304801368607,0.7500000000000072,0.6278713360958046
0.3,40,1.0,0.5825194863468146,0.7499999999469011,0.6327636404268405
0.3,40,1.05,0.5819161060262403,0.6306723113934019,0.5965429676363887
0.3,40,1.1,0.577952785360529,0.5303300858486086,0.5636659755069529
0.4,3,0.85,0.5559972099598993,0.013516621867521339,0.3932530335321859
0.4,3,0.9,0.5747310047938595,0.009243129574877954,0.40508464222816504
