val_bearing,rmse_s,asym_score
Train1,21594.76603253668,0.5190994574425377
Train2,17952.743300119902,0.45519739178871016
Train3,26121.523998419387,0.2711914639613922
Train4,23066.11228620896,0.44211619232132965
