thr,slope,beta,full,last,combined
0.3,3,0.85,0.530221091619108,0.2806870758395289,0.4553608868852343
0.3,3,0.9,0.5489917418315857,0.2719076820240014,0.4658665238893104
0.3,3,0.95,0.5682630818108809,0.2656589933226018,0.4774818552643971
0.3,3,1.0,0.5833137634825196,0.2612038811571864,0.4866807987849196
0.3,3,1.05,0.5919776083945233,0.2580230115603025,0.49179122934425706
0.3,3,1.1,0.5950253616202641,0.24119103672425873,0.4888750641514624
0.3,5,0.85,0.5230490631433411,0.5643661062066446,0.5354441760623321
0.3,5,0.9,0.5422725596094564,0.4974454474465163,0.5288244259605743
0.3,5,0.95,0.5619292160538342,0.44501101927483583,0.5268537570201346
0.3,5,1.0,0.5771807176121587,0.4038666560348255,0.5251864991389588
0.3,5,1.05,0.5851175700010827,0.3477936208752851,0.5139203852633434
0.3,5,1.1,0.587164900859217,0.2870245659920393,0.4971228003990637
0.3,10,0.85,0.5200249962222048,1.0,0.6640174973555433
0.3,10,0.9,0.5397320027976684,1.0,0.6778124019583678
0.3,10,0.95,0.5570140325530195,1.0,0.6899098227871137
0.3,10,1.0,0.5696817931622237,0.9525098213572185,0.6845302016207221
0.3,10,1.05,0.5752040892051766,0.7995321549695612,0.642502508934492
0.3,10,1.1,0.5743966952389753,0.6707425677568639,0.6033004569943419
0.3,20,0.85,0.5215896431182065,1.0,0.6651127501827445
0.3,20,0.9,0.5399242083282336,1.0,0.6779469458297636
0.3,20,0.95,0.5543353362007005,1.0,0.6880347353404903
0.3,20,1.0,0.5663605409405289,0.9999514378780201,0.6964378100217762
0.3,20,1.05,0.5708243339743784,0.8408540232961981,0.6518332407709242
0.3,20,1.1,0.5676622102487043,0.7070692644059939,0.6094843264958911
0.3,40,0.85,0.5234406439337032,1.0,0.6664084507535921
0.3,40,0.9,0.5406608401938726,1.0,0.6784625881357108
0.3,40,0.95,0.5546305708597221,1.0,0.6882413996018055
0.3,40,1.0,0.5668337048116241,1.0,0.6967835933681368
0.3,40,1.05,0.5696701769824983,0.8408964152537148,0.6510380484638633
0.3,40,1.1,0.5663447371400481,0.707106781186548,0.6085733503539981
0.4,3,0.85,0.5298343261391599,0.26351661038057816,0.4499390114115853
0.4,3,0.9,0.5480692413864273,0.25924312372451025,0.46142140608785215
0.4,3,0.95,0.5668361205375791,0.2563255575780933,0.4736829516497334
0.4,3,1.0,0.5832227579967051,0.2543315031129297,0.48455538153157246
0.4,3,1.05,0.5941660009428451,0.25296744604611193,0.49180643447382516
0.4,3,1.1,0.5986300379715843,0.2520337037234251,0.49465113769713653
0.4,5,0.85,0.5235294055229179,0.4157355548870422,0.49119125033215516
0.4,5,0.9,0.5424646973924087,0.3773168259687602,0.4929203359653141
0.4,5,0.95,0.5623001390377083,0.3479669555778009,0.498000183999736
0.4,5,1.0,0.5791908618862092,0.3254973100635545,0.5030827963394128
0.4,5,1.05,0.5899457855766955,0.29503180906625087,0.5014715926235621
0.4,5,1.1,0.5936130154748711,0.24524703245308782,0.4891032205683361
0.4,10,0.85,0.5159554137759126,1.0,0.6611687896431389
0.4,10,0.9,0.5346997861577651,1.0,0.6742898503104355
0.4,10,0.95,0.5536484350559536,0.9727869563676478,0.6793899914494619
0.4,10,1.0,0.5692035402881667,0.8797166567801074,0.6623574752357488
0.4,10,1.05,0.5777123478353393,0.7365669939463769,0.6253687416686505
0.4,10,1.1,0.5793909632418195,0.6156934867017384,0.5902817202797951
0.4,20,0.85,0.5120561457044547,1.0,0.6584393019931183
0.4,20,0.9,0.5309049356351697,1.0,0.6716334549446188
0.4,20,0.95,0.5486084456978503,1.0,0.6840259119884952
0.4,20,1.0,0.5639995416830487,0.9996267682888261,0.6946877096647819
0.4,20,1.05,0.5704967340233021,0.8405703474955233,0.6515188180649685
0.4,20,1.1,0.57076503998631,0.7068192642008274,0.6115813072506652
0.4,40,0.85,0.5106322691085572,1.0,0.65744258837599
0.4,40,0.9,0.5290558127583641,1.0,0.6703390689308548
0.4,40,0.95,0.545718152309226,1.0,0.6820027066164582
0.4,40,1.0,0.5592923244964063,1.0,0.6915046271474844
0.4,40,1.05,0.5643764200793518,0.8408964152537148,0.6473324186316607
0.4,40,1.1,0.5627833656984285,0.707106781186548,0.6060803903448643
0.5,3,0.85,0.5293897505269415,0.25501496452268796,0.44707731472566536
0.5,3,0.9,0.5483706794322636,0.2532444116140809,0.45983279908680874
0.5,3,0.95,0.5679658348927854,0.2520997275967471,0.47320600270397384
0.5,3,1.0,0.5854436166504402,0.2513592721719954,0.48521831330690673
0.5,3,1.05,0.5973540183728343,0.25088010799791405,0.4934118452603582
0.5,3,1.1,0.6026154194072213,0.25056993875470684,0.49700177521146693
0.5,5,0.85,0.526352493078518,0.3204064310345175,0.4645686744653178
0.5,5,0.9,0.5443300969653224,0.30221401885222693,0.47169527353139373
0.5,5,0.95,0.5638586231928608,0.28878534706562964,0.4813366403546915
0.5,5,1.0,0.5812409536385332,0.2788513584918896,0.4905240750945401
0.5,5,1.05,0.5930942687693287,0.27148857427605194,0.49661256042134566
0.5,5,1.1,0.599351831415297,0.231779224248039,0.48908004926511955
0.5,10,0.85,0.5153398594338667,0.959145319390501,0.6484814974208569
0.5,10,0.9,0.5329926411773287,0.9113982621453,0.6465143274677201
0.5,10,0.95,0.5517606588236458,0.8286785782355354,0.6348360346472126
0.5,10,1.0,0.5686286636573024,0.7263514599129185,0.6159455025339872
0.5,10,1.05,0.5789999819127823,0.6059546999758855,0.5870863973317133
0.5,10,1.1,0.5852871406873252,0.5028260507366127,0.5605488137021114
0.5,20,0.85,0.5084068049894372,1.0,0.655884763492606
0.5,20,0.9,0.526277625340502,1.0,0.6683943377383514
0.5,20,0.95,0.5448415237883546,1.0,0.6813890666518482
0.5,20,1.0,0.5617197436291677,0.9972492370303373,0.6923785916495185
0.5,20,1.05,0.5713903409036992,0.8384920524696388,0.6515208543734811
0.5,20,1.1,0.5767298840738672,0.7049886162535102,0.61520750372776
0.5,40,0.85,0.5054236913469099,1.0,0.6537965839428369
0.5,40,0.9,0.523409168978142,1.0,0.6663864182846995
0.5,40,0.95,0.541630743654647,1.0,0.6791415205582529
0.5,40,1.0,0.5582768275715361,1.0,0.6907937793000752
0.5,40,1.05,0.5680760382679984,0.8408964152537148,0.6499221513637132
0.5,40,1.1,0.5734277407587541,0.707106781186548,0.6135314528870923
0.6,3,0.85,0.5324167500474721,0.25153515319979297,0.44815227099316834
0.6,3,0.9,0.5507499935565936,0.25092747161019,0.4608032369726725
0.6,3,0.95,0.5688373384017983,0.25056041108384436,0.4733542602064121
0.6,3,1.0,0.5867406557188178,0.25033865002199435,0.48582005400977074
0.6,3,1.05,0.5991056156421297,0.250204654767016,0.49443532737959556
0.6,3,1.1,0.6068759653839189,0.25012368296938176,0.4998502806595577
0.6,5,0.85,0.5299520589361495,0.27207304949564654,0.4525883561039986
0.6,5,0.9,0.547356699022851,0.2654798169841576,0.462793634411243
0.6,5,0.95,0.5645410485816726,0.2608678235018886,0.4734390810577374
0.6,5,1.0,0.5817790270946891,0.2576367562128489,0.48453634583013705
0.6,5,1.05,0.5937929623039337,0.2553702686492914,0.49226615420754105
0.6,5,1.1,0.6009127703209108,0.24555458992857024,0.4943053162032086
0.6,10,0.85,0.5197394487417364,0.726262646530055,0.5816964080782319
0.6,10,0.9,0.5370214222337291,0.6382006326333777,0.5673751853536236
0.6,10,0.95,0.5556402848686192,0.561244808479801,0.5573216419519736
0.6,10,1.0,0.5735714874285033,0.49971527564976864,0.5514146238948828
0.6,10,1.05,0.5856883568983404,0.4204035620674255,0.536102918449066
0.6,10,1.1,0.5922417853803121,0.3463856962007059,0.5184849586264302
0.6,20,0.85,0.5141630324956799,1.0,0.6599141227469758
0.6,20,0.9,0.5316734173325008,1.0,0.6721713921327506
0.6,20,0.95,0.5500496267518717,1.0,0.6850347387263103
0.6,20,1.0,0.5683485292318262,0.9799975405211552,0.6918432326186248
0.6,20,1.05,0.580029727599567,0.8234279099194229,0.6530491822955238
0.6,20,1.1,0.5857374533640038,0.6917316424544792,0.6175357100911464
0.6,40,0.85,0.5136084954656992,1.0,0.6595259468259894
0.6,40,0.9,0.5310871270165679,1.0,0.6717609889115975
0.6,40,0.95,0.549275947317413,1.0,0.6844931631221891
0.6,40,1.0,0.5674897702353339,0.999990128612159,0.6972398777483814
0.6,40,1.05,0.5798655769481766,0.8408879662152118,0.6581722937282871
0.6,40,1.1,0.5857083813338813,0.7070991778433914,0.6221256202867342
0.7,3,0.85,0.5346611784808625,0.25038646167847184,0.44937876344014527
0.7,3,0.9,0.5516183733050509,0.2502153674552681,0.4611974715501161
0.7,3,0.95,0.5704968363931998,0.2501200242344245,0.4743837927455672
0.7,3,1.0,0.589750275417342,0.25006689086540235,0.4878452600517601
0.7,3,1.05,0.6028384009380349,0.2500372795779765,0.4969980645300173
0.7,3,1.1,0.6094589134018831,0.25002077674038453,0.5016274724034335
0.7,5,0.85,0.5321267262371836,0.2545085133380369,0.44884126236743954
0.7,5,0.9,0.5497792659210679,0.25289808748228626,0.4607149123894333
0.7,5,0.95,0.5681201674019009,0.2518636317582934,0.4732432067088186
0.7,5,1.0,0.5863584547336114,0.2511987662624246,0.48581054819225533
0.7,5,1.05,0.5990223351584699,0.2507712629465553,0.4945470134948955
0.7,5,1.1,0.6054398541621431,0.2504962940181843,0.49895678611895544
0.7,10,0.85,0.5311463197974804,0.4039161641975346,0.4929772731174966
0.7,10,0.9,0.5484898280135716,0.3677265578329435,0.4942608469593831
0.7,10,0.95,0.5664082667636129,0.34018258005443014,0.49854056075085806
0.7,10,1.0,0.5842968385781284,0.31917794205797195,0.5047611696220815
0.7,10,1.05,0.5978905909887888,0.28990208827444136,0.5054940401744846
0.7,10,1.1,0.6041521954096584,0.24108400226736632,0.4952317374669707
0.7,20,0.85,0.5269573061876874,1.0,0.6688701143313811
0.7,20,0.9,0.5441428625760099,1.0,0.6809000038032069
0.7,20,0.95,0.5615062116255175,0.962387761739636,0.681770676659753
0.7,20,1.0,0.5784706860141257,0.8677883937928723,0.6652659983477496
0.7,20,1.05,0.5909309838664097,0.7261761595273689,0.6315045365646974
0.7,20,1.1,0.595510534576777,0.6066621552232098,0.5988560207707069
0.7,40,0.85,0.5251098930259779,1.0,0.6675769251181844
0.7,40,0.9,0.5422394443819962,1.0,0.6795676110673974
0.7,40,0.95,0.5603871715249699,1.0,0.6922710200674789
0.7,40,1.0,0.5777918700148981,0.9995285807675846,0.704312883240704
0.7,40,1.05,0.5879569606012766,0.8404836389953294,0.6637149641194924
0.7,40,1.1,0.5910710709395773,0.7067429301261207,0.6257726286955403
0.75,3,0.85,0.5360959597005712,0.250181151732444,0.45032151731013303
0.75,3,0.9,0.553322626303363,0.25009655739590736,0.46235480563112635
0.75,3,0.95,0.5722414240145907,0.25005146773273823,0.47558443713003495
0.75,3,1.0,0.5912337621251115,0.25002743400560545,0.4888718636892596
0.75,3,1.05,0.6037937466812469,0.2500146233128257,0.4976600096707205
0.75,3,1.1,0.6095582238132364,0.2500077947658254,0.501693095099013
0.75,5,0.85,0.535689732941453,0.2516757620140181,0.45048554166322247
0.75,5,0.9,0.5519958175684703,0.25101745769126954,0.46170230960531006
0.75,5,0.95,0.5697372151998987,0.25061786875688913,0.4740014112669958
0.75,5,1.0,0.588332472503727,0.2503752567294885,0.48694530777145545
0.75,5,1.05,0.6021793689694668,0.25022792775209723,0.4965939366042559
0.75,5,1.1,0.6087255740339685,0.2501384491427606,0.5011494365666062
0.75,10,0.85,0.5382291737524048,0.3124830300591809,0.47050533064443756
0.75,10,0.9,0.5548994529058207,0.29595689613226334,0.47721668587375343
0.75,10,0.95,0.5729689001397194,0.2838536163280424,0.4862343149962162
0.75,10,1.0,0.5908495442696681,0.2749717884285722,0.4960862175173393
0.75,10,1.05,0.6038801232842935,0.26844245423435503,0.5032488225693119
0.75,10,1.1,0.6084553900114407,0.22939187786083368,0.4947363363662586
0.75,20,0.85,0.5369955572858243,0.9364215862741999,0.6568233659823369
0.75,20,0.9,0.5529533146628607,0.8920443842481072,0.6546806355384347
0.75,20,0.95,0.5697248354806217,0.8046079518325896,0.640189770386212
0.75,20,1.0,0.5866037508513393,0.7057541222277681,0.6223488622642679
