val_bearing,rmse_s,tft_mean,tft_median,tft_trim,tft_cons,tft_ultra,best_strat,best_score,seeds,asym_score
Train1,4652.649782650742,0.7327926552941917,0.7648989092688768,0.7597148201209419,0.7531431249099645,0.7156392885525358,median,0.7648989092688768,"0.639,0.746,0.752,0.703,0.770,0.735,0.630,0.674,0.710,0.639",0.7531431249099645
Train2,8158.667293130662,0.7384125584275169,0.7556537562773997,0.744441903443174,0.7160443657716209,0.6958587951459327,median,0.7556537562773997,"0.713,0.703,0.763,0.738,0.716,0.694,0.631,0.728,0.752,0.612",0.7160443657716209
Train3,5967.501654796587,0.5302494214456542,0.5740589933955835,0.5758814210951283,0.5819762179091158,0.5900401822208805,ultra,0.5900401822208805,"0.252,0.463,0.480,0.531,0.467,0.644,0.608,0.601,0.600,0.557",0.5819762179091158
Train4,20605.28242951307,0.5000161919667059,0.48184531014350884,0.5437864919762168,0.46263558937661037,0.45467128299232085,trimmed,0.5437864919762168,"0.438,0.462,0.439,0.394,0.451,0.510,0.497,0.548,0.420,0.605",0.46263558937661037
