thr,slope,beta,full,last,combined
0.5,20,0.85,0.5101850185525206,0.75,0.5821295129867644
0.5,20,0.9,0.5280112141339427,0.75,0.5946078498937599
0.5,20,0.95,0.5446778752678387,0.75,0.6062745126874871
0.5,20,1.0,0.5557843760286243,0.7472501444664802,0.613224106559981
0.5,20,1.05,0.5629436191423474,0.6282446430905256,0.5825339263268008
0.5,20,1.1,0.5650636985631259,0.5281917155350905,0.5540021036547152
0.5,40,0.85,0.5115348023370436,0.75,0.5830743616359305
0.5,40,0.9,0.5290698248560031,0.75,0.5953488773992022
0.5,40,0.95,0.5462528740909474,0.75,0.6073770118636631
0.5,40,1.0,0.557425740964827,0.7499998417065776,0.6151979711873522
0.5,40,1.05,0.5638216978702343,0.6306721716764969,0.583876840012113
0.5,40,1.1,0.5659422552759414,0.5303299627665251,0.5552585675231165
0.6,3,0.85,0.5208808948590536,0.0015351546643121443,0.3650771728006312
0.6,3,0.9,0.5364651060170769,0.0009274723159891198,0.3758038159067505
0.6,3,0.95,0.5523721114756287,0.0005604114028332063,0.38682860145379006
0.6,3,1.0,0.5675719148238481,0.0003386503883845178,0.39740193549320896
0.6,3,1.05,0.5757106886338451,0.0002046549490155252,0.4030588785283962
0.6,3,1.1,0.5779092184638882,0.00012368314281529196,0.4045735578675663
0.6,5,0.85,0.5224995325679304,0.022073074524722253,0.37237159515496787
0.6,5,0.9,0.5368720192495062,0.01547983529232944,0.38045436406235317
0.6,5,0.95,0.5517722395037175,0.010867837095489915,0.38950091878124915
0.6,5,1.0,0.5661416196514759,0.007636766156534061,0.3985901636029933
0.6,5,1.05,0.5738480121366438,0.005370275929388862,0.40330469127446733
0.6,5,1.1,0.5756599550860769,0.0037787464187967047,0.4040955924858929
0.6,10,0.85,0.5185848621985156,0.4762629085738741,0.5058882761111232
0.6,10,0.9,0.5347127905361116,0.38820063385388415,0.49075914353144334
0.6,10,0.95,0.5499632375292763,0.31124483872581854,0.478347717888239
0.6,10,1.0,0.5639589391023412,0.24971531241993972,0.46968585109762073
0.6,10,1.05,0.5716447166928723,0.20048143085167835,0.4602957309405141
0.6,10,1.1,0.5740862105184059,0.1610564814323909,0.4501772917926014
0.6,20,0.85,0.5156365465727084,0.75,0.5859455826008959
