val,rmse_s,full_mean,full_med,full_trim,full_cons,full_ultra,last_mean,last_med,last_trim,true_last,pred_last_med,best_strat,best_score,seeds
Train1,8730.204121325,0.7834658381054398,0.7828462021792798,0.7969385112486813,0.721396879152489,0.6993377219367984,1.0,1.0,1.0,600.0,600.0,trimmed,0.7969385112486813,"0.777,0.820,0.815,0.796,0.767,0.761,0.809,0.802,0.850,0.821"
Train2,11971.822250601619,0.6710352139694744,0.7163578189836252,0.57098102337604,0.5804205162898497,0.5853002297704976,7.435592867451088e-10,0.8254911108635741,0.7986021204745839,600.0,633.2010498046875,median,0.7163578189836252,"0.764,0.569,0.824,0.821,0.738,0.400,0.491,0.455,0.441,0.491"
Train3,11617.98467893636,0.36166599854935616,0.3842428144990677,0.42314138898919984,0.44489100602065595,0.4544051382538493,4.684259531912913e-06,1.0,1.0,600.0,600.0,ultra,0.4544051382538493,"0.527,0.480,0.464,0.474,0.305,0.592,0.625,0.667,0.658,0.529"
Train4,30798.67529618766,0.39235038568697655,0.3492590461938756,0.334065141002836,0.3090342689179436,0.2843878688296222,1.3186815671065816e-08,1.0,1.0,600.0,600.0,mean,0.39235038568697655,"0.560,0.523,0.532,0.504,0.560,0.361,0.488,0.374,0.431,0.488"
