target,source,mean_mmd,coral,distance,weight
Test1,Train1,1.0876318672504908,0.01986554103323815,1.107497408283729,0.22090477706141592
Test1,Train2,0.7551582554654863,0.017538445281033543,0.7726967007465199,0.316620185023751
Test1,Train3,0.8638541450539852,0.0057397796380424205,0.8695939246920276,0.2813398308004557
Test1,Train4,1.3288676375929251,0.021789210073902596,1.3506568476668277,0.18113520711437744
Test2,Train1,0.9443514787508748,0.020632907747653112,0.9649843864985279,0.23387182237395504
Test2,Train2,0.7503841585921878,0.017907572436188336,0.7682917310283761,0.2937459665960456
Test2,Train3,0.7406091274053284,0.0071459631899689945,0.7477550905952973,0.30181351077324864
Test2,Train4,1.3005876449976026,0.022531543905368514,1.3231191889029712,0.17056870025675058
Test3,Train1,0.9602415273725395,0.0194553489884061,0.9796968763609456,0.24564975661722407
Test3,Train2,0.8124638216602597,0.016850065192045405,0.8293138868523051,0.2901944107140305
Test3,Train3,0.8775816643691424,0.0050036790458199,0.8825853434149623,0.2726787545287523
Test3,Train4,1.235872514180395,0.021000401090673648,1.2568729152710687,0.19147707813999318
Test4,Train1,1.0007681411430494,0.020527247839544804,1.0212953889825942,0.2586401568948074
Test4,Train2,0.9490750231767658,0.01860487755768332,0.9676799007344492,0.27297041626229834
Test4,Train3,1.1707496750181705,0.009363801772509601,1.18011347679068,0.22383274121075888
Test4,Train4,1.0577341614635867,0.022375396952684888,1.0801095584162717,0.24455668563213542
Test5,Train1,1.890782072114121,0.018686385483393464,1.9094684575975145,0.25760129676608085
Test5,Train2,2.068779868895796,0.01798845954615238,2.0867683284419485,0.23571450936534516
Test5,Train3,2.351450582051132,0.009651654040540103,2.3611022360916722,0.20832710780853247
Test5,Train4,1.6292042471140864,0.019429330022647955,1.6486335771367344,0.29835708606004147
Test6,Train1,2.6342830635343315,0.021440843346851,2.6557239068811826,0.2686286061642352
Test6,Train2,3.0593602984481096,0.02253419271927917,3.0818944911673887,0.23148211291905477
Test6,Train3,3.236180255672268,0.01787712748580805,3.254057383158076,0.21923505852982708
Test6,Train4,2.520303166852885,0.021626875637204574,2.5419300424900895,0.28065422238688315
