val,full_mean,full_med,last_mean,last_med,true_last,pred_last_med,seeds_best
Train1,0.748495621338177,0.7545881353641838,0.015515521048045539,1.0,600.0,600.0,"0.806,0.769,0.806,0.486,0.722,0.831"
Train2,0.5402809626519806,0.6682830939600551,0.0007743394166400038,1.0,600.0,600.0,"0.792,0.767,0.788,0.443,0.491,0.491"
Train3,0.44354670374864724,0.4412045845487677,1.9287498479639178e-22,1.9287498479639178e-22,600.0,14314.26171875,"0.310,0.306,0.290,0.318,0.495,0.495"
Train4,0.35982164600039557,0.30986719064193297,1.335701855929644e-08,1.0,600.0,600.0,"0.531,0.500,0.639,0.452,0.488,0.488"
